Quote,Author
Make each day 📅 your masterpiece 🎨.,John Wooden
It's what you learn 📚 after you know it all that counts 🧠.,John Wooden
"Don't measure yourself 📏 by what you have accomplished, but rather by what you should have accomplished with your ability 🌟.",John Wooden
Things work out best 🌟 for those who make the best of how things work out 🔄.,John Wooden
Success 🏆 comes from knowing that you did your best 💪 to become the best that you are capable of becoming 🌟.,John Wooden
Do not let making a living 💰 prevent you from making a life 🌱.,John Wooden
"If you don't have time ⏰ to do it right, when will you have time to do it over 🔄?",John Wooden
"Ability 💪 may get you to the top ⛰️, but it takes character 🧭 to keep you there.",John Wooden
The main ingredient of stardom ⭐ is the rest of the team 🤝.,John Wooden
Success 🏆 is peace of mind 🧘 attained only through self-satisfaction in knowing you made the effort 💪 to become the best of which you are capable.,John Wooden
Do not let what you cannot do 🚫 interfere with what you can do 💪.,John Wooden
"Failure ❌ is simply the opportunity 🚪 to begin again 🔄, this time more intelligently 🧠.",Henry Ford
"Whether you think you can 💪, or you think you can't ❌—you're right.",Henry Ford
Coming together 🤝 is a beginning; keeping together is progress 📈; working together is success 🏆.,Henry Ford
Obstacles 🚧 are those frightful things you see when you take your eyes off your goal 🎯.,Henry Ford
"If everyone is moving forward together 🤝, then success takes care of itself 🏆.",Henry Ford
Nothing is particularly hard ⛰️ if you divide it into small jobs 🧩.,Henry Ford
You can't build a reputation 🌟 on what you are going to do 💭.,Henry Ford
"Thinking 🧠 is the hardest work there is, which is probably the reason so few engage in it.",Henry Ford
Failure ❌ is the condiment that gives success 🏆 its flavor.,Truman Capote
The man who has confidence 💪 in himself gains the confidence 🤝 of others.,Hasidic Proverb
The way to get started 🚀 is to quit talking 🗣️ and begin doing 🛠️.,Walt Disney
"All our dreams 💭 can come true ✨, if we have the courage 🦁 to pursue them 🚀.",Walt Disney
It's kind of fun 😄 to do the impossible ✨.,Walt Disney
"If you can dream it 💭, you can do it 🚀.",Walt Disney
The difference between winning 🏆 and losing ❌ is most often not quitting 🔥.,Walt Disney
